,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,state,Hour Event Began,time_location
1121,February,2019-02-07,07:39:00,02/07/2019,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370,Arkansas,7,2019-02-07 7:00:00 | Arkansas
1122,February,2019-02-07,08:55:00,02/09/2019,16:30:00,Michigan,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,233000,Michigan,8,2019-02-07 8:00:00 | Michigan
1123,February,2019-02-08,10:00:00,02/08/2019,10:30:00,Pennsylvania,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,0,0,Pennsylvania,10,2019-02-08 10:00:00 | Pennsylvania
1124,February,2019-02-08,18:30:00,Unknown,Unknown,Washington,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,50940,Washington,18,2019-02-08 18:00:00 | Washington
1125,February,2019-02-13,02:48:00,02/15/2019,00:28:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,182,121000,California,2,2019-02-13 2:00:00 | California
1126,February,2019-02-14,08:50:00,02/14/2019,12:10:00,New Jersey,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,0,0,New Jersey,8,2019-02-14 8:00:00 | New Jersey
1127,February,2019-02-14,12:15:00,02/14/2019,12:16:00,Utah,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0,Utah,12,2019-02-14 12:00:00 | Utah
1128,February,2019-02-19,09:45:00,Unknown,Unknown,Texas,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,Texas,9,2019-02-19 9:00:00 | Texas
1129,February,2019-02-20,12:50:00,02/20/2019,13:32:00,"Wisconsin, Minnesota, Iowa, Illinois",MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,740,0,Illinois,12,2019-02-20 12:00:00 | Illinois
1130,February,2019-02-20,12:50:00,02/20/2019,13:32:00,"Wisconsin, Minnesota, Iowa, Illinois",MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,740,0,Iowa,12,2019-02-20 12:00:00 | Iowa
1131,February,2019-02-20,12:50:00,02/20/2019,13:32:00,"Wisconsin, Minnesota, Iowa, Illinois",MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,740,0,Minnesota,12,2019-02-20 12:00:00 | Minnesota
1132,February,2019-02-20,12:50:00,02/20/2019,13:32:00,"Wisconsin, Minnesota, Iowa, Illinois",MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,740,0,Wisconsin,12,2019-02-20 12:00:00 | Wisconsin
1133,February,2019-02-23,14:05:00,Unknown,Unknown,Virginia,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,Unknown,Unknown,Virginia,14,2019-02-23 14:00:00 | Virginia
1134,February,2019-02-24,18:00:00,02/25/2019,22:00:00,Pennsylvania,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,132000,Pennsylvania,18,2019-02-24 18:00:00 | Pennsylvania
1135,February,2019-02-24,11:21:00,02/26/2019,17:29:00,"Ohio, Virginia, West Virginia",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,118781,Ohio,11,2019-02-24 11:00:00 | Ohio
1136,February,2019-02-24,11:21:00,02/26/2019,17:29:00,"Ohio, Virginia, West Virginia",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,118781,West Virginia,11,2019-02-24 11:00:00 | West Virginia
1137,February,2019-02-24,11:21:00,02/26/2019,17:29:00,"Ohio, Virginia, West Virginia",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,118781,Virginia,11,2019-02-24 11:00:00 | Virginia
1138,February,2019-02-24,18:47:00,02/25/2019,13:55:00,Pennsylvania,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,137216,Pennsylvania,18,2019-02-24 18:00:00 | Pennsylvania
1139,February,2019-02-24,12:31:00,02/24/2019,14:57:00,Ohio,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,157274,Ohio,12,2019-02-24 12:00:00 | Ohio
1140,February,2019-02-24,14:33:00,02/24/2019,18:03:00,Pennsylvania,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,94048,Pennsylvania,14,2019-02-24 14:00:00 | Pennsylvania
1141,February,2019-02-24,20:02:00,02/25/2019,14:30:00,Michigan,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,115000,Michigan,20,2019-02-24 20:00:00 | Michigan
1142,February,2019-02-25,07:45:00,02/25/2019,18:40:00,Massachusetts,NPCC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,Massachusetts,7,2019-02-25 7:00:00 | Massachusetts
1143,February,2019-02-25,13:35:00,02/26/2019,02:50:00,"Connecticut, Massachusetts, New Hampshire, Maine, Vermont, Rhode Island",NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,72332,Connecticut,13,2019-02-25 13:00:00 | Connecticut
1144,February,2019-02-25,13:35:00,02/26/2019,02:50:00,"Connecticut, Massachusetts, New Hampshire, Maine, Vermont, Rhode Island",NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,72332,Maine,13,2019-02-25 13:00:00 | Maine
1145,February,2019-02-25,13:35:00,02/26/2019,02:50:00,"Connecticut, Massachusetts, New Hampshire, Maine, Vermont, Rhode Island",NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,72332,Massachusetts,13,2019-02-25 13:00:00 | Massachusetts
1146,February,2019-02-25,13:35:00,02/26/2019,02:50:00,"Connecticut, Massachusetts, New Hampshire, Maine, Vermont, Rhode Island",NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,72332,New Hampshire,13,2019-02-25 13:00:00 | New Hampshire
1147,February,2019-02-25,13:35:00,02/26/2019,02:50:00,"Connecticut, Massachusetts, New Hampshire, Maine, Vermont, Rhode Island",NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,72332,Rhode Island,13,2019-02-25 13:00:00 | Rhode Island
1148,February,2019-02-25,13:35:00,02/26/2019,02:50:00,"Connecticut, Massachusetts, New Hampshire, Maine, Vermont, Rhode Island",NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,72332,Vermont,13,2019-02-25 13:00:00 | Vermont
1149,February,2019-02-27,11:25:00,02/27/2019,17:39:00,Iowa,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,Iowa,11,2019-02-27 11:00:00 | Iowa
1150,February,2019-02-27,21:35:00,02/27/2019,21:45:00,South Carolina,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,South Carolina,21,2019-02-27 21:00:00 | South Carolina
1151,February,2019-02-28,07:02:00,02/28/2019,07:33:00,"Oklahoma, Arkansas, Louisiana",SPP RE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Arkansas,7,2019-02-28 7:00:00 | Arkansas
1152,February,2019-02-28,07:02:00,02/28/2019,07:33:00,"Oklahoma, Arkansas, Louisiana",SPP RE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Louisiana,7,2019-02-28 7:00:00 | Louisiana
1153,February,2019-02-28,07:02:00,02/28/2019,07:33:00,"Oklahoma, Arkansas, Louisiana",SPP RE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Oklahoma,7,2019-02-28 7:00:00 | Oklahoma
