EVENT_ID,BEGIN_DATE,time_location_x,EVENT_TYPE,MAGNITUDE,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE,FLOOD_CAUSE,date_state,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Event Type,Number of Customers Affected,state,time_location_y
548650,11/19/14,2014-11-19  12:00:00 | California,High Surf, ,0,0,California, ,2014-11-19 | California,11/19/14,14:44:00,11/19/14,14:45:00,Suspected Physical Attack - Vandalism,Unknown,California,2014-11-19 14:00:00 | California
553865,12/11/14,2014-12-11  0:00:00 | California,Heavy Snow, ,0,0,California, ,2014-12-11 | California,12/11/14,6:40:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 6:00:00 | California
553865,12/11/14,2014-12-11  0:00:00 | California,Heavy Snow, ,0,0,California, ,2014-12-11 | California,12/11/14,7:21:00,12/11/14,21:53:00,Distribution Interruption - Unknown Cause,75000,California,2014-12-11 7:00:00 | California
553865,12/11/14,2014-12-11  0:00:00 | California,Heavy Snow, ,0,0,California, ,2014-12-11 | California,12/11/14,23:15:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 23:00:00 | California
553856,12/11/14,2014-12-11  0:00:00 | California,Debris Flow, ,300000,0,California,Heavy Rain,2014-12-11 | California,12/11/14,6:40:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 6:00:00 | California
553856,12/11/14,2014-12-11  0:00:00 | California,Debris Flow, ,300000,0,California,Heavy Rain,2014-12-11 | California,12/11/14,7:21:00,12/11/14,21:53:00,Distribution Interruption - Unknown Cause,75000,California,2014-12-11 7:00:00 | California
553856,12/11/14,2014-12-11  0:00:00 | California,Debris Flow, ,300000,0,California,Heavy Rain,2014-12-11 | California,12/11/14,23:15:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 23:00:00 | California
553867,12/11/14,2014-12-11  0:00:00 | California,Heavy Snow, ,0,0,California, ,2014-12-11 | California,12/11/14,6:40:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 6:00:00 | California
553867,12/11/14,2014-12-11  0:00:00 | California,Heavy Snow, ,0,0,California, ,2014-12-11 | California,12/11/14,7:21:00,12/11/14,21:53:00,Distribution Interruption - Unknown Cause,75000,California,2014-12-11 7:00:00 | California
553867,12/11/14,2014-12-11  0:00:00 | California,Heavy Snow, ,0,0,California, ,2014-12-11 | California,12/11/14,23:15:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 23:00:00 | California
547263,12/11/14,2014-12-11  2:00:00 | California,Flood, ,0,0,California,Heavy Rain,2014-12-11 | California,12/11/14,6:40:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 6:00:00 | California
547263,12/11/14,2014-12-11  2:00:00 | California,Flood, ,0,0,California,Heavy Rain,2014-12-11 | California,12/11/14,7:21:00,12/11/14,21:53:00,Distribution Interruption - Unknown Cause,75000,California,2014-12-11 7:00:00 | California
547263,12/11/14,2014-12-11  2:00:00 | California,Flood, ,0,0,California,Heavy Rain,2014-12-11 | California,12/11/14,23:15:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 23:00:00 | California
545085,12/11/14,2014-12-11  3:00:00 | California,High Wind,83,0,0,California, ,2014-12-11 | California,12/11/14,6:40:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 6:00:00 | California
545085,12/11/14,2014-12-11  3:00:00 | California,High Wind,83,0,0,California, ,2014-12-11 | California,12/11/14,7:21:00,12/11/14,21:53:00,Distribution Interruption - Unknown Cause,75000,California,2014-12-11 7:00:00 | California
545085,12/11/14,2014-12-11  3:00:00 | California,High Wind,83,0,0,California, ,2014-12-11 | California,12/11/14,23:15:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 23:00:00 | California
547305,12/11/14,2014-12-11  3:00:00 | California,Heavy Rain, ,0,0,California, ,2014-12-11 | California,12/11/14,6:40:00,Unknown,Unknown,Severe Weather- High Winds,Unknown,California,2014-12-11 6:00:00 | California
